Bucket,Rep,Species,Treatment,Lake,Source,Cut,FishID,Date local larvae added,Date non local larvae added,Date fish added,time fish added,Time,Days,Fish_length,Surviving,Initial,dRate
10A,1,ENTR,Local ,Fayetteville,FAY,right ,10A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,76.1,5,5,0
10A,1,ENTR,Non-local,Fayetteville,BK,left,10A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,76.1,4,5,0.096910013
4A,2,ENTR,Local ,Fayetteville,FAY,right ,4A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,88.5,5,5,0
4A,2,ENTR,Non-local,Fayetteville,BK,left,4A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,88.5,3,5,0.22184875
3,3,ENTR,Local ,Fayetteville,FAY,right ,3,4/27/2023,4/28/2023,05/02/2023,3:25:00 pm,48,2,89.5,4,5,0.048455007
3,3,ENTR,Non-local,Fayetteville,BK,left,3,4/27/2023,4/28/2023,05/02/2023,3:25:00 pm,48,2,89.5,5,5,0
11,4,ENTR,Local ,Fayetteville,FAY,right ,11,4/27/2023,4/28/2023,05/02/2023,3:25:00 pm,48,2,87.8,5,5,0
11,4,ENTR,Non-local,Fayetteville,BK,left,11,4/27/2023,4/28/2023,05/02/2023,3:25:00 pm,48,2,87.8,5,5,0
9,5,ENTR,Local ,Fayetteville,FAY,right ,9,4/27/2023,4/28/2023,05/02/2023,3:25:00 pm,48,2,77,4,5,0.048455007
9,5,ENTR,Non-local,Fayetteville,BK,left,9,4/27/2023,4/28/2023,05/02/2023,3:25:00 pm,48,2,77,3,5,0.110924375
6,6,ENEX,Local ,Fayetteville,FAY,right,6,4/27/2023,4/27/2023,05/02/2023,3:25:00 pm,48,2,83.8,5,5,0
6,6,ENEX,Non-local,Fayetteville,BK,left,6,4/27/2023,4/27/2023,05/02/2023,3:25:00 pm,48,2,83.8,4,5,0.048455007
12A,7,ENEX,Local ,Fayetteville,FAY,right,12A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,77.2,5,5,0
12A,7,ENEX,Non-local,Fayetteville,BK,left,12A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,77.2,3,5,0.22184875
1A,8,ENEX,Local ,Fayetteville,FAY,right,1A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,68.3,4,5,0.096910013
1A,8,ENEX,Non-local,Fayetteville,BK,left,1A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,68.3,5,5,0
5A,9,ENEX,Local ,Fayetteville,FAY,right,5A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,69.8,4,5,0.096910013
5A,9,ENEX,Non-local,Fayetteville,BK,left,5A,4/27/2023,4/27/2023,4/28/2023,3:10:00 pm,24,1,69.8,5,5,0
2,10,ENEX,Local ,Fayetteville,FAY,right,2,4/27/2023,4/27/2023,05/02/2023,3:25:00 am,48,2,80.2,1,5,0.349485002
2,10,ENEX,Non-local,Fayetteville,BK,left,2,4/27/2023,4/27/2023,05/02/2023,3:25:00 am,48,2,80.2,5,5,0
10B,11,ENTR,Local ,Fayetteville,FAY,left,10A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,76.1,4,5,0.048455007
10B,11,ENTR,Non-local,Fayetteville,BK,right,10A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,76.1,2,5,0.198970004
4B,12,ENTR,Local ,Fayetteville,FAY,left,4A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,88.5,1,5,0.349485002
4B,12,ENTR,Non-local,Fayetteville,BK,right,4A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,88.5,1,5,0.349485002
10A,13,ENTR,Local ,Fayetteville,FAY,left,2,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,80.2,1,5,0.349485002
